																		
Time	Accelerometer									GyroScope								
	Xn	Yn	Zn	X	Y	Z	Xg	Yg	Zg	Xn	Yn	Zn	X	Y	Z	Xg	Yg	Zg
smp#1	-3960	-896	13860	-0.2417	-0.0547	0.8459	-2.3703	-0.5363	8.2959	-203	103	19	-3.0992	1.5725	0.2901	-0.0541	0.0274	0.051
smp#2	-3976	-904	13756	-0.2427	-0.0552	0.8396	-2.3798	-0.5411	8.2337	-190	108	30	-2.9008	1.6489	0.458	-0.0506	0.0288	0.08
smp#3	-4000	-1000	13764	-0.2441	-0.061	0.8401	-2.3942	-0.5986	8.2384	-190	102	37	-2.9008	1.5573	0.5649	-0.0506	0.0272	0.099
smp#4	-4032	-996	13884	-0.2461	-0.0608	0.8474	-2.4134	-0.5962	8.3103	-189	100	37	-2.8855	1.5267	0.5649	-0.0504	0.0266	0.099
smp#5	-3872	-932	13732	-0.2363	-0.0569	0.8381	-2.3176	-0.5578	8.2193	-199	113	38	-3.0382	1.7252	0.5802	-0.053	0.0301	0.0101
smp#6	-3856	-912	13968	-0.2354	-0.0557	0.8525	-2.308	-0.5459	8.3606	-193	102	44	-2.9466	1.5573	0.6718	-0.0514	0.0272	0.0117
smp#7	-3904	-1024	13812	-0.2383	-0.0625	0.843	-2.3367	-0.6129	8.2672	-201	98	39	-3.0687	1.4962	0.5954	-0.0536	0.0261	0.0104
smp#8	-3880	-812	13724	-0.2368	-0.0496	0.8376	-2.3224	-0.486	8.2145	-193	103	35	-2.9466	1.5725	0.5344	-0.0514	0.0274	0.093
smp#9	-3936	-1052	13848	-0.2402	-0.0642	0.8452	-2.3559	-0.6297	8.2887	-195	93	42	-2.9771	1.4198	0.6412	-0.052	0.0248	0.0112
smp#10	-3796	-1052	13724	-0.2317	-0.0642	0.8376	-2.2721	-0.6297	8.2145	-195	108	29	-2.9771	1.6489	0.4427	-0.052	0.0288	0.077
smp#11	-4060	-928	13828	-0.2478	-0.0566	0.844	-2.4301	-0.5555	8.2768	-194	112	35	-2.9618	1.7099	0.5344	-0.0517	0.0298	0.093
smp#12	-4004	-940	13692	-0.2444	-0.0574	0.8357	-2.3966	-0.5626	8.1954	-199	107	32	-3.0382	1.6336	0.4885	-0.053	0.0285	0.085
